age	mx	qx	lx	dx	ex
0	0.003582	0.003576	100000.0	357.6	82.77
1	0.000218	0.000218	99642.4	21.7	82.06
2	0.000137	0.000137	99620.7	13.6	81.08
3	0.000093	0.000093	99607.1	9.3	80.09
4	0.000074	0.000074	99597.8	7.4	79.10
5	0.000069	0.000069	99590.4	6.9	78.10
6	0.000067	0.000067	99583.6	6.7	77.11
7	0.000057	0.000057	99576.9	5.6	76.12
8	0.000059	0.000059	99571.3	5.8	75.12
9	0.000058	0.000058	99565.4	5.8	74.12
10	0.000064	0.000064	99559.6	6.4	73.13
11	0.000070	0.000070	99553.3	7.0	72.13
12	0.000067	0.000066	99546.3	6.6	71.14
13	0.000103	0.000103	99539.6	10.3	70.14
14	0.000090	0.000090	99529.4	9.0	69.15
15	0.000131	0.000131	99520.4	13.0	68.16
16	0.000123	0.000123	99507.4	12.3	67.16
17	0.000162	0.000162	99495.1	16.2	66.17
18	0.000178	0.000178	99478.9	17.7	65.18
19	0.000191	0.000190	99461.2	18.9	64.20
20	0.000235	0.000235	99442.3	23.4	63.21
21	0.000227	0.000227	99418.9	22.6	62.22
22	0.000216	0.000216	99396.3	21.5	61.24
23	0.000248	0.000248	99374.8	24.7	60.25
24	0.000248	0.000248	99350.1	24.6	59.26
25	0.000238	0.000238	99325.5	23.6	58.28
26	0.000278	0.000278	99301.9	27.6	57.29
27	0.000310	0.000310	99274.3	30.8	56.31
28	0.000330	0.000330	99243.5	32.7	55.33
29	0.000344	0.000344	99210.8	34.1	54.34
30	0.000363	0.000363	99176.7	36.0	53.36
31	0.000396	0.000396	99140.6	39.2	52.38
32	0.000464	0.000464	99101.4	46.0	51.40
33	0.000488	0.000488	99055.4	48.4	50.43
34	0.000573	0.000573	99007.1	56.7	49.45
35	0.000631	0.000631	98950.4	62.5	48.48
36	0.000622	0.000622	98887.9	61.5	47.51
37	0.000744	0.000744	98826.4	73.5	46.54
38	0.000870	0.000870	98752.9	85.9	45.57
39	0.000944	0.000943	98667.1	93.1	44.61
40	0.001004	0.001004	98574.0	99.0	43.65
41	0.001077	0.001077	98475.0	106.0	42.70
42	0.001200	0.001199	98369.0	117.9	41.74
43	0.001239	0.001238	98251.1	121.6	40.79
44	0.001388	0.001387	98129.5	136.1	39.84
45	0.001474	0.001473	97993.4	144.3	38.90
46	0.001631	0.001630	97849.0	159.5	37.95
47	0.001919	0.001917	97689.6	187.3	37.01
48	0.001991	0.001989	97502.3	194.0	36.08
49	0.002132	0.002130	97308.3	207.2	35.15
50	0.002373	0.002370	97101.0	230.1	34.23
51	0.002537	0.002534	96870.9	245.4	33.31
52	0.002686	0.002682	96625.5	259.2	32.39
53	0.002974	0.002970	96366.3	286.2	31.48
54	0.003176	0.003171	96080.1	304.7	30.57
55	0.003492	0.003486	95775.4	333.8	29.67
56	0.003817	0.003810	95441.6	363.6	28.77
57	0.004151	0.004142	95078.0	393.8	27.88
58	0.004403	0.004393	94684.2	416.0	26.99
59	0.004811	0.004800	94268.2	452.5	26.11
60	0.005275	0.005261	93815.7	493.6	25.23
61	0.005626	0.005611	93322.1	523.6	24.36
62	0.006349	0.006329	92798.5	587.3	23.50
63	0.007013	0.006988	92211.2	644.4	22.64
64	0.007684	0.007654	91566.8	700.9	21.80
65	0.008298	0.008264	90866.0	750.9	20.96
66	0.009276	0.009233	90115.1	832.0	20.13
67	0.010128	0.010077	89283.0	899.7	19.32
68	0.011141	0.011079	88383.3	979.2	18.51
69	0.012055	0.011983	87404.1	1047.3	17.71
70	0.013367	0.013278	86356.8	1146.7	16.92
71	0.014398	0.014295	85210.1	1218.1	16.14
72	0.015880	0.015755	83992.0	1323.3	15.36
73	0.017527	0.017375	82668.7	1436.3	14.60
74	0.019302	0.019117	81232.4	1553.0	13.85
75	0.021813	0.021578	79679.4	1719.3	13.11
76	0.024221	0.023931	77960.1	1865.7	12.39
77	0.027726	0.027347	76094.4	2081.0	11.68
78	0.031301	0.030819	74013.5	2281.0	11.00
79	0.035046	0.034443	71732.5	2470.6	10.33
80	0.040564	0.039758	69261.8	2753.7	9.68
81	0.045985	0.044951	66508.1	2989.6	9.06
82	0.052249	0.050919	63518.5	3234.3	8.46
83	0.058615	0.056946	60284.2	3433.0	7.89
84	0.066200	0.064079	56851.3	3643.0	7.34
85	0.075078	0.072362	53208.3	3850.3	6.81
86	0.086422	0.082843	49358.1	4089.0	6.30
87	0.097489	0.092958	45269.1	4208.1	5.82
88	0.112728	0.106713	41061.0	4381.8	5.37
89	0.127392	0.119764	36679.2	4392.9	4.95
90	0.145816	0.135907	32286.4	4388.0	4.55
91	0.166178	0.153430	27898.4	4280.4	4.19
92	0.189533	0.173126	23618.0	4088.9	3.86
93	0.212876	0.192398	19529.1	3757.4	3.56
94	0.236054	0.211134	15771.7	3330.0	3.29
95	0.263486	0.232814	12441.8	2896.6	3.04
96	0.289856	0.253165	9545.2	2416.5	2.81
97	0.324539	0.279228	7128.7	1990.5	2.59
98	0.360079	0.305142	5138.1	1567.9	2.41
99	0.388583	0.325367	3570.3	1161.6	2.24
100	0.43157	0.354972	2408.6	855	2.08
